"Udraw", "Udraw"
"uDraw Settings", "uDraw Settings"
"Price Matrix", "Price Matrix"
"Api Credentials are Invalid.", "Api Credentials are Invalid."
"Updated Settings Successfully.", "Updated Settings Successfully."
"Templates", "Templates"
"uDraw Templates", "uDraw Templates"
"A total of %1 record(s) have been deleted.", "A total of %1 record(s) have been deleted."
"Enabled", "Enabled"
"Disabled", "Disabled"
"None", "None"
"We can't add this item to your shopping cart right now.", "We can't add this item to your shopping cart right now."
"Edit", "Edit"
"Close", "Close",
"Design Now", "Design Now"
"Update Design", "Update Design"
"Please fill in all required fields(*) before proceeding.", "Please fill in all required fields(*) before proceeding."
"Upload Artwork", "Upload Artwork"
"Quantity", "Quantity"
"{currency}{price}", "{currency}{price}"
"%1 for %2%3 each - %4%5", "%1 for %2%3 each - %4%5"
".", "."
"Uploaded Artwork", "Uploaded Artwork"
